t,equity,drawdown
460,1.0899405134742661,-0.0015979072237728431
461,1.0868957737800338,-0.004386935106579504
462,1.0898534082608908,-0.0016776969244495232
463,1.0900081142870557,-0.0015359838507739143
464,1.089404302373897,-0.002089084749665293
465,1.0889619767285814,-0.002494261770348838
466,1.0895605357760134,-0.0019459725763804059
467,1.091890762202399,-9.159339953157541e-13
468,1.0912104132359317,-0.0006230925208071669
469,1.0867831396308367,-0.004677777987841303
470,1.0870537838899283,-0.004429910464403886
471,1.0862767433864255,-0.005141557206367997
472,1.0853114344582095,-0.006025628179061271
473,1.0843668872429322,-0.0068906846920143705
474,1.0864970336197135,-0.004939806041403982
475,1.0866913482265652,-0.004761844459918008
476,1.0835883381355247,-0.0076037130775979955
477,1.09085053932318,-0.0009526803561556996
478,1.0923932418619844,-9.15489906105904e-13
479,1.0919097013177448,-0.00044264329612209163
480,1.089247144396986,-0.0028800045125078055
481,1.094710635635594,-9.136025269640413e-13
482,1.0948543747852986,-9.134915046615788e-13
483,1.093524698197595,-0.001214478034088473
484,1.0920433136534407,-0.002567520574055071
485,1.0897432166082235,-0.004668345211729874
486,1.092396058725153,-0.002245336108398277
487,1.0924429730202554,-0.002202486304641149
488,1.0898037412629957,-0.004613064202523498
489,1.0907639687934756,-0.003736027445313428
490,1.0911355675349563,-0.0033966227262581805
491,1.091216778524659,-0.003322447574226284
492,1.090369423816091,-0.0040963904182079736
493,1.093428669472086,-0.0013021871648372096
494,1.0926341827756383,-0.0020278422973774024
495,1.0939814695899,-0.0007972797264194087
496,1.0940912314772309,-0.0006970272272207589
497,1.093248145106561,-0.0014670715272532275
498,1.091207565111432,-0.00333086276937844
499,1.090115643872815,-0.004328183749924386
500,1.0910114393051378,-0.003509996918002023
501,1.0910605362051358,-0.003465153602645432
502,1.0919148840533042,-0.002684823480353926
503,1.0915426162993462,-0.003024839250972411
504,1.0924490367692967,-0.0021969478977251766
505,1.0922834066113116,-0.002348228434935762
506,1.0922935200435953,-0.0023389911952474973
507,1.091403535859872,-0.003151870244935795
508,1.0922920371394487,-0.002340345625736817
509,1.093858032065507,-0.0009100230530532105
510,1.0927450622131594,-0.0019265690686498527
511,1.0947717167807456,-7.549680346230492e-05
512,1.096356342297174,-9.121592370320286e-13
513,1.096733767896055,-9.11826170124641e-13
514,1.0953404027038727,-0.0012704680333259777
515,1.0966310965595607,-9.361555237896724e-05
516,1.0992253665672862,-9.098277686803158e-13
517,1.098582074554487,-0.0005852230428484706
518,1.093962199438587,-0.004788069207436907
519,1.0942435747269024,-0.00453209322937731
520,1.0953907041175264,-0.003488513427170492
521,1.0953218658603667,-0.003551137761773182
522,1.098713188169378,-0.0004659448503334662
523,1.1023546329183354,-9.072742557236779e-13
524,1.1075128251084327,-9.030554082301023e-13
525,1.1033564661257231,-0.0037528766163940075
526,1.1035966915009354,-0.00353597134020589
527,1.1015195536822138,-0.005411469096646249
528,1.1004824688403179,-0.006347877974614224
529,1.1011168574173997,-0.005775073251545471
530,1.0995186333652238,-0.007218148235366151
531,1.0950018238681145,-0.011296484300380105
532,1.0944294106017272,-0.01181333002298457
533,1.0937573853737925,-0.012420117784442963
534,1.0938159941271077,-0.012367198529707024
535,1.095751492805179,-0.010619590164196668
536,1.0961981321110232,-0.010216308779351202
537,1.0985173465435984,-0.00812223421877356
538,1.0963534350210837,-0.010076082041981294
539,1.0985325547942433,-0.00810850232303384
540,1.0977812210034434,-0.00878689969574642
541,1.099175508948498,-0.007527963534066484
542,1.0975837607817527,-0.008965191284984964
543,1.0952143393591984,-0.011104598945858024
544,1.1137233479084143,-8.979483823168266e-13
545,1.1142988864338177,-8.975042931069765e-13
546,1.113266070265559,-0.0009268753490037085
547,1.118670180415182,-8.93951579428176e-13
548,1.1166680556245019,-0.001789736444870016
549,1.1143124291755497,-0.0038954745705397364
550,1.1135373058852247,-0.004588371640556033
551,1.1129263524559259,-0.005134514230207943
552,1.1129213135440028,-0.005139018606932444
553,1.1150517760024923,-0.003234558743975491
554,1.1153056040563833,-0.003007657143901832
555,1.1159309850248131,-0.0024486175097201412
556,1.113843879274713,-0.004314320007773431
557,1.1126252755867798,-0.005403652421621996
558,1.1134706891091306,-0.004647921610922978
559,1.1136180923004464,-0.004516155167250568
560,1.1129677028118279,-0.005097550380964488
561,1.113260091801649,-0.004836178445840278
562,1.115798678399965,-0.002566888852931437
563,1.1159867648993718,-0.0023987548464123876
564,1.1205674747642171,-8.925082894961633e-13
565,1.1201980057009784,-0.00032971603456211085
566,1.1239311029101942,-8.89843754237063e-13
567,1.1220739004150087,-0.0016524166751636926
568,1.1295460012343144,-8.854028621385623e-13
569,1.1284545414969958,-0.0009662817956285208
570,1.1262567051591423,-0.002912051454809994
571,1.126846286823798,-0.00239008806065788
572,1.1252081628154715,-0.00384033798986394
573,1.1258809663924698,-0.0032446972844278887
574,1.1267464553292321,-0.0024784700251434533
575,1.1263115855883812,-0.0028634651828221003
576,1.1243570669489746,-0.004593822899346289
577,1.1199987787394245,-0.008452265322039687
578,1.1235099616611015,-0.005343774903909804
579,1.1228530588503325,-0.0059253384790547425
580,1.1243760570234267,-0.0045770107691353035
581,1.1237387237530896,-0.005141249206206622
582,1.1282067744931688,-0.0011856327592510985
583,1.1286108460753375,-0.0008279035638693033
584,1.129322830120811,-0.00019757594136005086
585,1.1320890607498397,-8.834044606942371e-13
586,1.1334170489498714,-8.824052599720744e-13
587,1.1319365727193809,-0.0013062060720376856
588,1.1312839669177264,-0.0018819921891236602
589,1.129436635116451,-0.00351187044354484
590,1.1213705214365317,-0.010628503890505625
591,1.118266225225903,-0.013367386469960496
592,1.1192506078350153,-0.012498877733460145
593,1.1195938368574425,-0.012196050964844884
594,1.1199014345967389,-0.011924661241546675
595,1.1196626109052144,-0.012135372463638827
596,1.1198204558910516,-0.011996107763162178
597,1.1219245602270607,-0.010139682241809056
598,1.1212602857010519,-0.0107257635316782
599,1.1215473782148588,-0.01047246531803947
600,1.1233601298526945,-0.008873096718887363
601,1.1226845115934367,-0.009469186445862254
602,1.1188990734915512,-0.01280903218524787
603,1.1176208324239263,-0.013936808645649612
604,1.1163241938126482,-0.015080817033804927
605,1.1153801461467912,-0.01591373874318891
606,1.1144381019427474,-0.016744892822718405
607,1.114809790164071,-0.016416956850987874
608,1.1157861997955874,-0.015555482575106638
609,1.115574941902979,-0.015741872829959425
610,1.1153730606125396,-0.015919990223399183
611,1.1136681372169466,-0.017424223283217022
612,1.1170207893750468,-0.014466219288832516
613,1.115996224420732,-0.015370180417053736
614,1.1149207633265883,-0.016319046586959263
615,1.1160603432062142,-0.015313609196829447
616,1.1157599235109386,-0.015578665819679482
617,1.1180594508762645,-0.013549820949687041
618,1.118835935868953,-0.012864737737459664
619,1.1259399080062409,-0.006596990006063286
620,1.12360998413301,-0.008652653343214856
621,1.1195812495662254,-0.012207156577936584
622,1.118674317909841,-0.01300733128611109
623,1.1165215066866074,-0.014906730298351434
624,1.1178285739054352,-0.013753520877302416
625,1.118931165461391,-0.012780717832759914
626,1.1208138653393585,-0.01111963475684341
627,1.1208649448290677,-0.011074567947802039
628,1.1227842751509867,-0.00938116627919694
629,1.1214917530107205,-0.01052154275532513
630,1.1244150696151984,-0.00794233626890084
631,1.1260093924981749,-0.006535684688661947
632,1.1256850086479715,-0.006821884592310479
633,1.1292207044708948,-0.003702383411173238
634,1.1289143701705011,-0.003972658417780273
635,1.128863748931321,-0.004017320917984457
636,1.1247423991758345,-0.0076535374009650825
637,1.1243117483787115,-0.008033495332179896
638,1.1227134622905872,-0.009443643599848617
639,1.1221668094657475,-0.009925948701351883
640,1.1231706147868208,-0.009040303543638384
641,1.1222782170304468,-0.009827655169591054
642,1.1227807565907753,-0.009384270661837557
643,1.128111334038416,-0.0046811673755629
644,1.1271025236637184,-0.005571228430874542
645,1.1271965439536509,-0.005488275478985005
646,1.1254421145535982,-0.007036187081052914
647,1.129674025326621,-0.0033024239645195186
648,1.1315845678258754,-0.0016167756843716852
649,1.1301886033395028,-0.0028484180773150625
650,1.1295741547290623,-0.00339053857127547
651,1.1284883154084764,-0.004348561323439859
652,1.1320940550856167,-0.0011672613064003245
653,1.1317583158896958,-0.0014634798926935755
